name;genus;vore;order;sleep_total;sleep_rem;awake;brain_wt;body_wt;brain_body_ratio;gest_day
Souris africaine rayee;Rhabdomys;omni;Rodentia;8.7;NA;15.3;0.0008;0.044;0.018181818;25
Singe ecureuil;Saimiri;omni;Primates;9.6;1.4;14.4;0.015;0.743;0.020188425;158
Taupe d'Amerique de l'Est;Scalopus;insecti;Soricomorpha;8.4;2.1;15.6;0.0012;0.075;0.016;45
Rat de coton;Sigmodon;herbi;Rodentia;11.3;1.1;12.7;0.00118;0.148;0.007972973;27
Rat-taupe nu;Spalax;herbi;Rodentia;10.6;2.4;13.4;0.0022;0.122;0.018032787;70
Ecureuil terrestre de l'Arctique;Spermophilus;herbi;Rodentia;16.6;NA;7.4;0.0057;0.92;0.006195652;28
Ecureuil terrestre a treize lignes;Spermophilus;herbi;Rodentia;13.8;3.4;10.2;0.0004;0.101;0.003960396;28
Musaraigne;Suncus;insecti;Soricomorpha;12.8;2;11.2;0.00033;0.048;0.006875;30
Porc;Sus;omni;Artiodactyla;9.1;2.4;14.9;0.18;86.25;0.002086957;116
Echidne a nez court;Tachyglossus;insecti;Monotremata;8.6;NA;15.4;0.025;4.5;0.005555556;25
Loup gris;Canis;carni;Carnivora;7.6;NA;16.4;0.1195;36.33;0.003289293;69
Tapir bresilien;Tapirus;herbi;Perissodactyla;4.4;1;19.6;0.169;207.501;0.000814454;398
Tenrec;Tenrec;omni;Afrosoricida;15.6;2.3;8.4;0.0026;0.9;0.002888889;63
Musaraigne arboricole;Tupaia;omni;Scandentia;8.9;2.6;15.1;0.0025;0.5;0.005;46
Grand dauphin;Tursiops;carni;Cetacea;5.2;NA;18.8;1.6;173.33;0.009230947;365
Genette commune;Genetta;carni;Carnivora;6.3;1.3;17.7;0.0175;2;0.00875;61
Renard arctique;Vulpes;carni;Carnivora;12.5;NA;11.5;0.0445;3.38;0.01316568;52
Renard roux;Vulpes;carni;Carnivora;9.8;2.4;14.2;0.0504;4.23;0.011914894;54
Aye-Aye;Daubentonia;omni;Primates;11.3;NA;12.7;0.03813;2.3;0.016578261;166
